,qid,question_text,target
57411,0b437348da850eb1926f,What is the difference between Vidhan Parishad and Vidhan Sabha?,0
878370,ac17d8b864c3df52385e,Where is Viner font used?,0
596317,74cbd2f85edee3b6d99d,"In Tamil-Nadu, what is the difference between a great actor (Kamal Hassan) and a mass entertainer (Ajith Kumar)?",0
441067,5671ab867078668dd5b2,How do volocopters work?,0
1092341,d6117a93aa1da64e1242,Why do you want to leave the USA?,0
1168018,e4df5f187b01b09d5573,Can cats eat raw chicken?,0
866787,a9d544edf5255014b626,Which language is the best for being a lecturer after 12th?,0
765537,95fa31808b697e9b576d,Why is Malbec called that way?,0
1246162,f4348189ba2b670dbf3e,What is Kenan Thompson known for?,0
392203,4cd23912d8f28a11612e,Why do both of my grandmothers hate me and criticize every about me? One of my grandmothers even makes fun of me and not her other grandchildren.,0
1223953,efe0d0e55e92a313e7ba,How do I contact Facebook Customer Service?,0
316620,3e1001b15ba750b0ee09,What is the upper age limit for doing bachelors in hotel management?,0
936483,b788779a3145233bf5c9,Did any civilization ever experiment with using horses or other animals to power their ships?,0
1275341,f9ee43f11ab56ab36968,Is grapefruit juice acidic?,0
464802,5b04796e21e06e1f5a19,What would have happened if Anakin lost the podrace?,0
1019792,c7d68197d34236700b29,What kind of food you like? What is your staple diet?,0
344486,437f832c44c458b70a42,What are the electric shock thingys that YouTubers use for fun and where can I find them?,0
356596,45e568735c5c344a4a2a,Who is richer between Jeff Bezos (official richest person) and Ratan Tata?,0
442916,56cc4597b0a428c1e1e7,Do we sometimes have to be self-willed if we want to get what we want?,0
588125,73343693af25100a2885,"Is it true that scientifically speaking, straws don't suck the liquid into the mouth?",0
236,000b354cd565014e2d47,"If you are from EEE branch at Manipal, can you pick up any coding or IT related subjects as minor?",0
705448,8a2290145d1e0bdffb97,Can India dominate the Kashmir issue if it becomes a permanent UN member?,0
32848,066e162da49663794413,What are some good website to date foreigners?,0
1206494,ec79e9666b47c72f0de7,"Which is the best Shopping places in Dwarka, Delhi?",0
15124,02f7ffaa03c8dca33f3d,How can I gradually increase the amount of sit-ups I make?,0
1158329,e2f5659c75a8a52c12e9,What does the Incas today enherent from the past?,0
959606,bc021b164e6e279fc447,Is bio technology have good jobs?,0
250438,3101abb6f73abd7cb909,"What's the meaning of this sentence, ""Their words are all not true""? Does it mean the same as ""Their words are not all true""?",0
483938,5ec37d33d5fd882a1c14,What makes Taylor Hall special on the ice during a game?,0
893071,aef97f78f40fd4cd6753,What are the most amazing facts about space?,0
1194497,ea19af2063c61568371a,What is your stance on trebuchets?,0
746224,922c2d86e9aac298977d,Why do you like the novel Moby Dick?,0
653100,7fee3b17aa0a684880ab,Which mutual fund is good to invest?,0
770545,96f6f384abd556aae8c8,What is the best way to switch departments at the same company?,0
355416,45a988db7e0a4e0a7f58,What are the best game cheat engines that will work for WWE 2k games for PC?,0
980806,c02270a1b75541212e64,How should I remember concepts for neet?,0
1285604,fbf42029b57c323e3169,Is it possible to get 9th block with 6.64 GPA in MIT Manipal? (if applying alone for double attach washroom),0
1158917,e313328a6189fbb1bfd7,Should I watch season 8 of The Walking Dead?,0
439576,5624682501a236bb9475,Do you agree with Stuart Mill's harm principle? Are there any other forms of harm Mill's may have overlooked?,0
785848,99f295944f62ee0579f3,ARE meals free in secunderabad to Visakhapatnam durentho?,0
73593,0e6b82348238ffe2d927,Is Xi Jinping the last gift to China from Mao?,0
1044564,ccae408be91a3f663b54,Have you ever had nude video chat with someone from opposite sex on Omegle or any other such website? What was the experience like?,0
